"Nomenclature","ReporterCode","ReporterISO3","ReporterName","ProductCode","PartnerCode","PartnerISO3","PartnerName","Year","TradeFlowName","TradeValue in 1000 USD"
"H0","643","RUS","Russian Fed","0101","000","WLD","World",2020,"Gross Exports",1629.63495
"H0","643","RUS","Russian Fed","0101","031","AZE","Azerbaijan",2020,"Gross Exports",1.80252
"H0","643","RUS","Russian Fed","0101","056","BEL","Belgium",2020,"Gross Exports",23.08777
"H0","643","RUS","Russian Fed","0101","100","BGR","Bulgaria",2020,"Gross Exports",5.44876
"H0","643","RUS","Russian Fed","0101","112","BLR","Belarus",2020,"Gross Exports",4.21591
"H0","643","RUS","Russian Fed","0101","156","CHN","China",2020,"Gross Exports",15.5447
"H0","643","RUS","Russian Fed","0101","203","CZE","Czech Rep",2020,"Gross Exports",5.88324
"H0","643","RUS","Russian Fed","0101","233","EST","Estonia",2020,"Gross Exports",8.6457
"H0","643","RUS","Russian Fed","0101","268","GEO","Georgia",2020,"Gross Exports",20.11679
"H0","643","RUS","Russian Fed","0101","276","DEU","Germany",2020,"Gross Exports",52.55634
"H0","643","RUS","Russian Fed","0101","348","HUN","Hungary",2020,"Gross Exports",5.24539
"H0","643","RUS","Russian Fed","0101","398","KAZ","Kazakhstan",2020,"Gross Exports",1109.29323
"H0","643","RUS","Russian Fed","0101","408","PRK","Korea D P Rp",2020,"Gross Exports",19.66763
"H0","643","RUS","Russian Fed","0101","410","KOR","Korea Rep.",2020,"Gross Exports",42.70058
"H0","643","RUS","Russian Fed","0101","417","KGZ","Kyrgyzstan",2020,"Gross Exports",19.94356
"H0","643","RUS","Russian Fed","0101","428","LVA","Latvia",2020,"Gross Exports",70.00749
"H0","643","RUS","Russian Fed","0101","440","LTU","Lithuania",2020,"Gross Exports",44.03266
"H0","643","RUS","Russian Fed","0101","442","LUX","Luxemberg",2020,"Gross Exports",2.25618
"H0","643","RUS","Russian Fed","0101","496","MNG","Mongolia",2020,"Gross Exports",34.31022
"H0","643","RUS","Russian Fed","0101","528","NLD","Netherlands",2020,"Gross Exports",20.59107
"H0","643","RUS","Russian Fed","0101","579","NOR","Norway,Sb,JM",2020,"Gross Exports",5.82851
"H0","643","RUS","Russian Fed","0101","616","POL","Poland",2020,"Gross Exports",25.89047
