"Nomenclature","ReporterCode","ReporterISO3","ReporterName","ProductCode","PartnerCode","PartnerISO3","PartnerName","Year","TradeFlowName","TradeValue in 1000 USD"
"H0","804","UKR","Ukraine","0101","000","WLD","World",2021,"Gross Exports",569.02223
"H0","804","UKR","Ukraine","0101","051","ARM","Armenia",2021,"Gross Exports",0.80014
"H0","804","UKR","Ukraine","0101","056","BEL","Belgium",2021,"Gross Exports",0.95853
"H0","804","UKR","Ukraine","0101","112","BLR","Belarus",2021,"Gross Exports",3.32779
"H0","804","UKR","Ukraine","0101","203","CZE","Czech Rep",2021,"Gross Exports",0.96672
"H0","804","UKR","Ukraine","0101","246","FIN","Finland",2021,"Gross Exports",0.97003
"H0","804","UKR","Ukraine","0101","268","GEO","Georgia",2021,"Gross Exports",16.09977
"H0","804","UKR","Ukraine","0101","276","DEU","Germany",2021,"Gross Exports",301.10247
"H0","804","UKR","Ukraine","0101","348","HUN","Hungary",2021,"Gross Exports",1.93034
"H0","804","UKR","Ukraine","0101","428","LVA","Latvia",2021,"Gross Exports",31.48028
"H0","804","UKR","Ukraine","0101","440","LTU","Lithuania",2021,"Gross Exports",0.94203
"H0","804","UKR","Ukraine","0101","528","NLD","Netherlands",2021,"Gross Exports",1.88372
"H0","804","UKR","Ukraine","0101","616","POL","Poland",2021,"Gross Exports",12.15083
"H0","804","UKR","Ukraine","0101","643","RUS","Russian Fed",2021,"Gross Exports",90.74507
"H0","804","UKR","Ukraine","0101","752","SWE","Sweden",2021,"Gross Exports",11.13259
"H0","804","UKR","Ukraine","0101","826","GBR","Untd.Kingdom",2021,"Gross Exports",32.46994
"H0","804","UKR","Ukraine","0101","860","UZB","Uzbekistan",2021,"Gross Exports",62.06198
"H0","804","UKR","Ukraine","0102","000","WLD","World",2021,"Gross Exports",32247.59341
"H0","804","UKR","Ukraine","0102","031","AZE","Azerbaijan",2021,"Gross Exports",1286.92937
"H0","804","UKR","Ukraine","0102","398","KAZ","Kazakhstan",2021,"Gross Exports",2744.71198
"H0","804","UKR","Ukraine","0102","400","JOR","Jordan",2021,"Gross Exports",5630.6833
"H0","804","UKR","Ukraine","0102","417","KGZ","Kyrgyzstan",2021,"Gross Exports",93.42757
"H0","804","UKR","Ukraine","0102","422","LBN","Lebanon",2021,"Gross Exports",4496.84513
"H0","804","UKR","Ukraine","0102","434","LBY","Libya",2021,"Gross Exports",1214.9923
"H0","804","UKR","Ukraine","0102","498","MDA","Rep.Moldova",2021,"Gross Exports",651.06104
"H0","804","UKR","Ukraine","0102","682","SAU","Saudi Arabia",2021,"Gross Exports",1527.2306
"H0","804","UKR","Ukraine","0102","762","TJK","Tajikistan",2021,"Gross Exports",71.682
"H0","804","UKR","Ukraine","0102","818","EGY","Egypt",2021,"Gross Exports",7921.0091
"H0","804","UKR","Ukraine","0102","860","UZB","Uzbekistan",2021,"Gross Exports",6609.02102
"H0","804","UKR","Ukraine","0103","000","WLD","World",2021,"Gross Exports",2842.95773
"H0","804","UKR","Ukraine","0103","268","GEO","Georgia",2021,"Gross Exports",2842.95773
"H0","804","UKR","Ukraine","0104","000","WLD","World",2021,"Gross Exports",1326.84725
"H0","804","UKR","Ukraine","0104","051","ARM","Armenia",2021,"Gross Exports",30
"H0","804","UKR","Ukraine","0104","268","GEO","Georgia",2021,"Gross Exports",35.50014
"H0","804","UKR","Ukraine","0104","400","JOR","Jordan",2021,"Gross Exports",493.5275
"H0","804","UKR","Ukraine","0104","422","LBN","Lebanon",2021,"Gross Exports",53.042
"H0","804","UKR","Ukraine","0104","498","MDA","Rep.Moldova",2021,"Gross Exports",31.2
"H0","804","UKR","Ukraine","0104","682","SAU","Saudi Arabia",2021,"Gross Exports",454.185
"H0","804","UKR","Ukraine","0104","792","TUR","Turkey",2021,"Gross Exports",139.99261
"H0","804","UKR","Ukraine","0104","860","UZB","Uzbekistan",2021,"Gross Exports",89.4
